player_id,actual_position
266,MID
662,CB
725,CB
759,CB
702,MID
719,CB
754,MID
757,GK
666,FWD
700,MID
711,MID
389,MID
701,CB
722,MID
92,MID
756,MID
456,MID
688,GK
703,GK
710,CB
210,MID
68,GK
100,FWD
105,GK
107,CB
108,CB
110,CB
111,CB
112,CB
113,CB
114,CB
115,CB
116,CB
117,CB
118,CB
121,MID
122,MID
123,MID
124,MID
125,MID
126,MID
128,MID
129,MID
130,MID
131,MID
132,MID
133,MID
134,MID
136,FWD
748,MID
677,MID
198,CB
200,MID
202,MID
206,MID
207,MID
211,MID
470,GK
676,MID
680,FWD
66,GK
69,GK
70,GK
71,CB
72,CB
73,CB
74,CB
75,CB
76,CB
77,CB
78,CB
79,CB
80,CB
81,MID
82,MID
84,MID
85,MID
86,MID
87,MID
88,MID
89,MID
90,MID
91,MID
93,MID
94,MID
95,MID
96,MID
97,FWD
98,FWD
685,CB
687,MID
697,MID
713,CB
721,CB
83,MID
101,GK
102,GK
103,GK
104,GK
138,GK
46,CB
47,MID
48,MID
49,MID
50,MID
51,MID
53,MID
54,MID
55,MID
56,MID
57,MID
58,MID
59,MID
60,MID
61,MID
62,MID
63,MID
64,FWD
65,FWD
183,GK
184,GK
185,GK
186,CB
187,CB
188,CB
189,CB
190,CB
191,CB
192,CB
193,CB
194,CB
196,CB
197,CB
199,CB
201,MID
203,MID
204,MID
205,MID
208,MID
209,MID
212,MID
213,MID
214,MID
215,FWD
216,FWD
217,FWD
218,FWD
219,FWD
67,GK
139,GK
140,GK
141,GK
1,GK
2,GK
3,GK
4,GK
5,CB
6,CB
7,CB
8,CB
9,CB
10,CB
11,CB
13,CB
14,CB
15,CB
16,MID
17,MID
18,MID
19,MID
20,MID
21,MID
22,MID
23,MID
24,MID
25,MID
26,MID
28,MID
29,MID
30,FWD
31,FWD
32,GK
33,GK
34,GK
35,GK
36,CB
37,CB
38,CB
39,CB
40,CB
41,CB
42,CB
43,CB
44,CB
45,CB
27,MID
106,CB
120,MID
142,GK
143,CB
144,CB
145,CB
147,CB
148,CB
150,CB
151,CB
195,CB
99,FWD
109,CB
127,MID
137,FWD
146,CB
152,CB
153,CB
154,CB
155,CB
156,CB
157,MID
158,MID
159,MID
160,MID
161,MID
162,MID
163,MID
164,MID
165,MID
166,MID
167,MID
169,MID
170,MID
171,MID
172,MID
173,MID
174,MID
175,MID
176,MID
177,MID
178,FWD
179,FWD
180,FWD
181,FWD
744,MID
168,MID
220,GK
221,GK
222,GK
223,GK
224,CB
225,CB
226,CB
227,CB
228,CB
229,CB
230,CB
231,CB
232,CB
233,CB
234,CB
235,MID
236,MID
237,MID
238,MID
239,MID
240,MID
241,MID
244,MID
245,MID
246,MID
247,MID
248,MID
249,FWD
250,FWD
251,FWD
453,MID
672,CB
743,MID
253,GK
254,GK
255,GK
256,CB
257,CB
258,CB
259,CB
260,CB
261,CB
262,CB
263,CB
264,CB
265,CB
267,MID
268,MID
269,MID
270,MID
271,MID
272,MID
273,MID
274,MID
275,MID
276,MID
277,MID
278,MID
279,MID
243,MID
280,MID
281,MID
282,MID
283,FWD
284,FWD
285,FWD
286,FWD
690,MID
712,MID
723,CB
732,FWD
242,MID
287,GK
288,GK
289,GK
290,CB
